Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,1.067771,1.072501,1.065723,1.067771,1.067771,0
2023-02-14,1.073042,1.079844,1.070996,1.073042,1.073042,0
2023-02-15,1.073572,1.074460,1.066598,1.073572,1.073572,0
2023-02-16,1.069176,1.072225,1.065575,1.069176,1.069176,0
2023-02-17,1.066576,1.068148,1.061380,1.066576,1.066576,0
2023-02-20,1.068444,1.070549,1.067156,1.068444,1.068444,0
2023-02-21,1.068262,1.069564,1.064487,1.068262,1.068262,0
2023-02-22,1.065201,1.066553,1.061909,1.065201,1.065201,0
2023-02-23,1.060580,1.063038,1.058201,1.060580,1.060580,0
2023-02-24,1.059805,1.061425,1.053774,1.059805,1.059805,0
2023-02-27,1.055476,1.061864,1.053352,1.055476,1.055476,0
2023-02-28,1.061121,1.064500,1.058235,1.061121,1.061121,0
2023-03-01,1.057731,1.069107,1.056569,1.057731,1.057731,0
2023-03-02,1.066894,1.067270,1.058347,1.066894,1.066894,0
2023-03-03,1.059973,1.062925,1.059131,1.059973,1.059973,0
2023-03-06,1.062620,1.069381,1.062304,1.062620,1.062620,0
2023-03-07,1.068833,1.069633,1.057161,1.068833,1.068833,0
2023-03-08,1.055075,1.057328,1.052665,1.055075,1.055075,0
2023-03-09,1.054953,1.058649,1.053852,1.054953,1.054953,0
2023-03-10,1.058470,1.069862,1.057574,1.058470,1.058470,0
2023-03-13,1.068365,1.073722,1.065235,1.068365,1.068365,0
2023-03-14,1.072501,1.074714,1.067965,1.072501,1.072501,0
2023-03-15,1.072766,1.076009,1.052034,1.072766,1.072766,0
2023-03-16,1.058335,1.063456,1.055509,1.058335,1.058335,0
2023-03-17,1.061413,1.066963,1.061211,1.061413,1.061413,0
2023-03-20,1.067886,1.073053,1.063242,1.067886,1.067886,0
2023-03-21,1.071915,1.078725,1.070492,1.071915,1.071915,0
2023-03-22,1.077424,1.080147,1.075951,1.077424,1.077424,0
2023-03-23,1.087039,1.092900,1.086862,1.087039,1.087039,0
2023-03-24,1.083506,1.083900,1.071892,1.083506,1.083506,0
2023-03-27,1.077819,1.079600,1.074807,1.077819,1.077819,0
2023-03-28,1.080707,1.084900,1.080404,1.080707,1.080707,0
2023-03-29,1.083952,1.087200,1.082134,1.083952,1.083952,0
2023-03-30,1.084363,1.092395,1.082696,1.084363,1.084363,0
2023-03-31,1.090465,1.092586,1.086059,1.090465,1.090465,0
2023-04-03,1.080334,1.091572,1.078935,1.080334,1.080334,0
2023-04-04,1.091227,1.097165,1.088388,1.091227,1.091227,0
2023-04-05,1.096011,1.096924,1.090536,1.096011,1.096011,0
2023-04-06,1.090334,1.093016,1.088554,1.090334,1.090334,0
2023-04-07,1.092013,1.092538,1.088104,1.092013,1.092013,0
2023-04-10,1.091358,1.091822,1.083248,1.091358,1.091358,0
2023-04-11,1.086933,1.092669,1.086803,1.086933,1.086933,0
2023-04-12,1.091751,1.099856,1.091524,1.091751,1.091751,0
2023-04-13,1.099989,1.106900,1.098165,1.099989,1.099989,0
2023-04-14,1.105461,1.107542,1.097803,1.105461,1.105461,0
2023-04-17,1.098660,1.099904,1.091072,1.098660,1.098660,0
2023-04-18,1.092538,1.098346,1.092275,1.092538,1.092538,0
